title   text
the-end-of-the-world-(as-i-know-it)#blue        "11/04/2009 - 22/12/2012She called me the immediate following day after DOOMSDAY telling me that our love has spoiled. That i am strong and i must forget her and our moments. That she found a new love and she has new dreams with him. That she loves him and she won't do the same thing that she did to me (to leave him behind for me). That i am the devil and he is a good guy the absolute opposite than me. That although we had wonderful sex life he does better sex than me. That she will remember our days together for the rest of her life as good memories. And she will be wishing for me the best.Well i have only few things to say...FUCK YOU ""M"". GO DROWN WITH HIM IN A POOL FULL OF SHIT. THIS WORLD WILL BE SAVED WITHOUT YOU. THIS LIFE IS FUCKING BETTER WITHOUT YOUR MISERABLE FAKE ANGEL-FACE AND THE GLITTERING OF YOUR EYES. IT'S MY FUCKING FAULT BUILDING DREAMS WITH YOU FOR US AND TRYING MAKE YOU A BETTER PERSON. IT'S MY FUCKING FAULT SACRIFICING MYSELF FOR YOU FLYING LIKE A HUNTED ONE TO CATCH PLANES TO YOUR HOMEPLACE SO AS TO SEE YOU EVEN FOR A FEW HOURS DURING MY DAYS-OFF AND THEN BE BACK FLYING AGAIN. NO MATTER HOW YOUR FUCKING BODY CHANGES YOUR HEAD AND MIND WILL BE THE SAME SHIT AS ALWAYS WAS FROM THE VERY FUCKING BEGINNING TO THIS FUCKING END.THE DAY SHALL COME THAT YOU WILL REALIZE WHO AND WHAT THE FUCK I HAD BEEN ALL THESE YEARS FOR YOU AND US. BUT IT WILL BE FUCKING TOO LATE FOR YOU. EITHER I WILL BE 1 BILLION MILES AWAY OR I WILL BE FUCKING DEAD. I DON'T FUCKING CARE. YOU PRESSED THE RED BUTTON OF DESTRUCTION. AND NOW I AM FUCKING DEAD. MENTALLY AND EMOTIONALLY.BUT BEHOLD... I AM RISING AGAIN FROM MY FUCKING ASHES LIKE A PHOENIX.AND AGAIN FINALLY. F U C K Y O U."
1-year-black-anniversary#blue   One year passed without you. One terrible black and empty year. On 1st January i am entering Jesus' year. There are moments that i am walking on the streets travelling by plane sitting somewhere thinking of our past moments that now just do haunt me. There has been moments that i've been near to your places to our places. Even a few meters away from your home. I don't know truly what kind of feelings are inside of me about you anymore. Sometimes i am afraid to meet you again. Sometimes i am angry. Sometimes i am depressed. Sometimes i feel lonely. And sometimes i truly wish i never met you.I have this feeling that the time shall come that we will meet again. I feel that on 1st January you will be thinking of me. Maybe you are already too far away and too fucked up to even approach back to our past. Sometimes i do have the fear that maybe you will come back to my place and do whatever shit comes to your mind. Sometimes i do feel that you will search for me or ask any of my relatives or friends or whatever the fuck you can imagine to figure out what's happening with me.One thing is for sure. I don't want you to know anything about me. You left me stranded. Our moments are orphaned anymore. I am the only one who do keep them warm and colorful. Sometimes i want to cry thinking of them. Sometimes i want to curse you. And some other times when this time comes that we shall meet again i just want to pass away in front of your eyes. Like a stranger. Like someone you have never met. Like a ghost. Like a dead figure that is walking with the living. If you ever dare to talk to me i only want to place my finger on my lips and transfer silently my only words left to say. Shut up. Fuck you.
crossroad-possibility#blue      "Some weeks ago i went to the harbor to send some stuff to my brother by ship. After i finished that task while i was going away i turned my head to the right. I saw a red motorbike similar like yours. I saw a girl with your body sculpture similar like you holding a packet trying to lift it up. She was wearing similar black helmet like yours. You were doing the same shit all the time when we were together (to wear your helmet while you were doing some stuff). I also think i saw that sissy-boy of yours with her. One million thoughts crossed my mind same way like blood is diluting in water. But i didn't approach. Nor stopped to stare and be sure. I just continued going away hoping you didn't see me nor recognize me. It would be my worst nightmare to meet you again after all this shit happened.It's a world full of endless possibilities. Full of chances. Full of similarities and differences. I also might have been hallucinating at that time. It could be you. Or some other girl who might be similar to you. But too many similarities. Plus the ship that could take you to your homeland that unfortunately is the same to my homeland. I feel ashamed to be with you. It dishonors the land i am coming from. It makes me feel stink and disgust. I am sure. I hate you. I really hate you. But mostly i hate myself wasting all this time with you.Some days ago i heard one phrase; ""Don't try to hate the person you loved once you will only find out that you shall love her more"". Possibly it's just bullshit. But could be also the bitter truth.I have only one thing more to say;""On taottava silloin kun rauta on kuuma""(it's a small riddle to translate it in English. Might be useful for everyone who read this plus everything from me. Small hint; original language is Finnish)And finally. Again. FUCK YOU ""M"""
bloody-roots#blue       "I am again back to my homeland. Although my trip was unexpected and happened due to family reasons i walked again through our past. The bus station where we gave our first kiss. The streets where you were driving your motorbike and going to the seaside even during late autumn nights of 2011 holding just a towel and you. Teasing you by speeding up from behind and hearing you screaming. I even passed by very near to the house where you and your parents lived. So many memories that are dead for you and alive for me. So many moments together that your present ""happy life"" with your ""Italian Stallion"" made them forgotten. They are now ghosts piercing me and my heart all the time while i am walking through this city.I learned something new today. That you dyed your hair blonde. Horrible. Now you are placed in an even worse location and characterization inside of me. A worthless and dumb version of yourself lost into the wonders of a fake money life shopping in fancy stores fake ""friends"" and eventually diminished into the useless spaces of FB and G . A fantastic plastic virtual world where you deserve to be. A fake existence into a constructed and useless plain that you imagine as happiness.Today i prayed to the church near my village trying to cleanse my wounds and bad feelings. But no result. I feel pity for you and him. And despite my strongest efforts to forget you and keep you away from me i hate you even more than before. But most of all i hate myself for losing my heart feelings emotions love touch and most of all time for being with you. I regret with all my inner-self all these years i lost with you for you. I hate you so much. I wish there could be a way to delete these moments that i lived and never met you but keep everything else with me. I hate you."
tuleen-ajettu-maa...#blue       Just a random search... and a child came out...some words of yours saying about going to a kind of a kinder-garden during the end of October 2013 with a small girl... Cold & chilling blood ran through my veins. You already have a daughter?! I remember our dreams having 2 children together Natalia and Angel. Now these dreams are orphaned too. Like our life has passed to a crossroad and now are separated forever. Vanished and lost.I am frozen now. Feeling dead. Like time has stopped. Like nothing has meaning anymore. I don't know what to do. How to react. From the first side i just want to stand still and frozen looking far away. From another side i just want to cry. Cry so much and then die.Why am i so attached? She had her purpose. Find someone and do her own things no matter who this man would be. Ignoring even our wishes. Letting everything die and go away with the first available man on her way.I am still at the place where we met where we first kissed where we made love where our strongest moments were written.And now everything is gone. Lost. Dead. Forgotten.Can't believe what i just found out. Fuck.A land driven into fire. And i am still standing there...
worst-mistake-of-my-life...#blue        "On 11th April 2009 at around this time i made the worst mistake of my life. I arrived at the bus station of my hometown met you and kissed you. It was the beginning of my own fall. My sentence for an unknown crime that i have done during my life. 5 years gone and the memory of mine is still alive like if it happened just today. Memories that you probably have forgotten (or maybe let aside to your brainless head). Promises that were never kept true. A fake love. A fake relationship. A submission to just precious lost time.I cannot forget one thing most of all. When things were good to my life you were telling me the greatest bullshit promises and feelings from your idiotic mouth. When things went difficult the only thing you did was to abandon the ship and leave with your ""Italian Stallion"". I feel such shame such regret and most of all so much pity of myself that i lost all this life with you.I will never forget your betrayal no matter how many years will pass. No matter what shall happen to my life. It's another black anniversary written on my tombstone.I want revenge. Don't worry. The best revenge in life is a dish eaten deeply frozen at the most unexpected time. Don't worry. I am not intending to kill you. Nor do something illegal. I am not even intending to even see you again nor meet you. Your own miserable self and life will give you the proper punishment for what you have done to me.I have told you something once. You shall remember me when it's going to be too late for you. When your Stallion becomes someone whom you will not be satisfied from. When your parents shall continue their disrespect towards your own actions. When you shall understand my value my sacrifices and my own everything that i gave you and taught you. It will be like a huge black hole consuming you. Realizing that what you have been doing is a huge lie. A huge emptiness to your own initial emptiness.I am literally sure that during such moments you shall wish that you were dead. But hey. You will be alive and suffering. Nobody's gonna hurt you. Only your own self.And again. Shut up. FUCK YOU."
erittain-vihainen#blue  "I was walking on the street. Although spring has come some random thoughts about you and us passed by inside of my head as usual. Huge emotions and countless moments together that marked my life forever and my heart indefinitely. I felt like a huge black hole was consuming me. Like a black wavy ocean was pulling me inside under a bloody full moon. Such thoughts are consuming me most of the time while I'm thinking of our past.Sometimes i feel i am possessed of my sadness from the loss of what we had. Sometimes i feel pity for myself. Sometimes i am just blank like time has stopped and everything has erased. Sometimes i am crying. Sometimes i am angry and furious. Sometimes i am just wondering. And finally sometimes i realize that the more time is passing by the more i hate you for what you have done to me and to what we had.I am hurt badly and indefinitely. Like I'm crippled or incapacitated. It's unbearable. But most of the times i am just shutting up my fucking mouth and trying to keep myself up and standing. Bearing all this enormous monster that is eating me from inside. The more I'm saying ""be patient"" the more i get enraged and transforming into a huge red beast ready to destroy.This week that begins today is called ""Great Week"" in our orthodox religion. It symbolizes the torturing death and resurrection of our savior Jesus Christ. I feel so ashamed that i can't go on living my life without you. I feel so miserable for my weakness. I can't follow his path of love by forgiving you. I can't. I just can't. I hate you so much. I have never ever hated someone that much in my entire life. I am imagining you with your Stallion wishing for each other through your bullshit relationship and i want to puke. Only the image of such thing happening in front of my eyes makes me feel disgust first of all for myself and then for you. This hate is so enormous that i deeply wish you to live the worst Easter of your life.I am so fallen. So ashamed. So desperate. So lost..."
musta-paholaiset...#blue        Black Devils...Today you are celebrating and tomorrow you are celebrating your birthday. I am giving tremendous and enormous fights to get rid of you from my head from my mind from my thoughts from my feelings and eventually from my heart. I even can't believe that after so long time from the moment i last saw you my feelings remain so strong. So vivid. So tough. So bad.I feel like i am betraying myself. My current life. Even my religion. At some points i even believe i am losing my sanity and patience. Your loss and the amount of anger that i feel look like a thousand devils covered with black purple and red clouds all around them haunting me. Drinking my own blood. Laughing at me and taunting me. Enjoying my misery and pain. There are truly moments that i feel i am possessed or something. Maybe i really am.I want to call you and swear to you the worst words i can ever imagine. To yell at you and throw out all this pain i have inside me like flames ignited with aircraft fuel. I am trying to relax and forget. It's impossible. The more time passes by the more i get mad furious and frustrated. I do blame myself for fucking everything around me including my life. I need to study and i can't. I need to go on and prepare myself for my new life away from here and I'm still stuck in this shit. It's my sole blame and fault for this.What am i more puzzled and questioned about is how the fuck did you just erase everything about us with the press of a button. All your emotions. All your feelings. All our moments together. All our life together. I want to do the fucking same. Absolutely the fucking same thing. To fall asleep and wake up like you never existed in my life. Like if i was free or with another woman in my dumpster life.I am waiting for the moment when all this pain shall be transformed to something positive. When all this mess shall be tidied up. When all this loss will be just a faraway glance that i shall tell goodbye to. When all this hell i am living deep inside me shall be heaven again.Until then... SHUT UP. FUCK YOU.
monsterit#blue  Today i made a random search about you. I found you in almost every social network extremely easily and without any effort at all. It's even not necessary for me to be a part of any social network to find everything about you. It's at least remarkably amazing how people can be so desperate and lost themselves in bullshit like these. I never expected that you would be lost in them too. Unfortunately i proved myself mistaken to this too. You are everywhere.I do understand and realized how miserable i am. I admit this. Fully and without any hesitation nor step back. You are what you are. But i am worse. At least i understood one more thing; Every day that passes by gives me more and more reasons to stop feeling for you. To stop loving you. To stop keeping you in my mind and feelings. To realize how useless and lost you are and furthermore that there is nothing anymore valuable to being with you again. Nor see you. Nor remember our past affair. Delete and erase all my memories with you. Like if i have lost my mind. Like if i have lost my memory. Like if i had never been near to you. Love you. Feel for you. Try my best for you.Like everything has died all around me. Moments like today remind me of monsters consuming me. To never land...
mothership-gone...#blue 18-08-2014 - The blackest day of my life. Mothership gone Mothership lost Mothership is faraway now. Rest well. Have a nice trip up in the skies and heavens. May god forgive your sins. I miss you every day that passes by and it hurts so much.I am close to the end of the greatest efforts i am applying to earn my future in Finland. Tomorrow or the day after tomorrow things will be finally judged out. I hope this trip shall change my perspective and my future outcome. Fortunately and eventually by myself anymore. Without you. On my own. With my own strength and stamina.Someday you told me that you love me. But you owe me some hope. You were telling me not to let you go and love only you. But you are scattering like the clouds and you are singing whispering to my ears.Shut up. Fuck you...
olen-surullinen-suomessa...#blue        I am in Finland since Saturday October 4th... renewed my Cabin Crew license successfully hoping now for a place up in the skies...I miss my mother a lot. Since her death on August 18th the whole world around me seems so small so insignificant so grey.Weather here is cold and cloudy temperature around zeroes and minuses...Something extraordinary happened that triggered me and rendered me feel bad and sad too. My friend's baby was playing with a doll and left it alone lying on the pavement. When i took it from there i looked at it. My heart almost broke i almost burst into tears. I tried with my greatest efforts not to cry and anyone realizes around me what i really feel. I placed the doll with care on a small shelf to the left where my bed is. When i look at it i remember my ex. She was all the time telling me that she wants to get married and have a baby. Maybe that's why she left me. Again i don't consider this as a reason why to leave somebody who you love away. The pain is bad. Really bad. It pierces me like acid arrow entering my heart. Maybe i do understand her feelings for the first time in my life. Maybe i am just thinking bullshit or i am so emotionally filled that i give some kind of forgiveness and reason why she did this to me. Maybe she was just a bitch and i am just such an idiot now.On Saturday i am coming back to my homeland. Finally i do realize that even 5000km away i am still thinking of her. That eventually this trouble is not going away that easy. I miss her so much. I'm such an idiot...
2-years-black-anniversary#blue  Two years have gone away without you. 2014 was without any doubt one of the worst years of my life. Although i got back some things i lost even more. Hopefully i didn't meet you nor heard anything about you. I am happy about that. The pain now comparing to 2013 is lesser but still exists. My true inner wish says that i should never meet you again. Nor hear any news about you. Like if you are dead. This will roll me down to the bottom again. I am trying my best to avoid any pathways that could increase such chance. Nor walk around to your neighborhood or similar places. Not even to places where we sat together eating or having a coffee. This is my inner goal. And i hope destiny won't crash me to you anymore.
en-tied&auml;-mit&auml;-tehd&auml;...#blue      I'm in deep shit. This winter is silent yet a very strong pain in the ass. Situations here are silent and quiet but it seems it's this way before the big storm arrives. I am hoping for some kind of miracle to dig out from my grave of silence and internal loneliness. To be placed back to where i really belong. Back to the skies...A good thing is happening in the background. Luckily i think i am forgetting you. My rage is finally fading away. I do start to feel that i don't care anymore about your reasonless existence in this world. Eventually i do understand that i should feel grateful that this story of us didn't meant to be. Luckily...
historian-lopussa!-tai...%3f#blue       Back again after a year of absence...2015 was a massively mixed year full of surprises new situations a temporary place up in the scandinavian skies and hopefully (and luckily) your absence. I didn't even sense anything about you or from you at any time during this wandering risky businesses not even around your homeland nor place you used to live.Of course i avoided the bitter-sweet bait to even dare approaching some of your possible places that could even slightly increase the possibility of crashing you. Thankfully this has never happened yet not at least sensed it nor realized it in any way.For sure everybody who is reading this is sure that i haven't forgotten you. Of course your fucking curse is still crawling inside of me reminding me like flashes of cold blood and poison our moments together.Eventually these moments are now less frequent and in less significance comparing to the past years. It's been pretty long time since i last saw you physically somewhere. You might have seen me. Even with another girl. I don't care. It would be a pleasure if it happened though...Of course your fucking pathetic existence still walks inside every kind of SM around the globe. I still don't exist there. Nor i am planning to do so at all eventually. For me what counts is 100% real life. No fake net shit. No SM. Nothing of these crap. I like this idea knowing you will never see me this way. Not even know what the hell i am up to or thinking in there. You know fucking nothing. And i am glad about it.During this year i have spoken at very random times about you and to very few people. I know that i still feel bitter. All my words reflects this. Like a dark sun. Like a blue moon. It's something that i want to forget and erase 100% from the deepest parts of me. A graceful salvation. A flying release flying away and never look back.2016 is going to be an enormous year. Really conflicting but yet surprisingly amazing. I can't wait to see what's coming up next in here.So... In the end of history! Or...?
menetetty#blue  There is an uncertain kind of serenity happening in here. A fake feeling for the deep darker inside of me. Still seeking my place up in the skies no good result until now...There are some points of time that i am still seeking what the fuck you have been doing. And of course what else you have become a social media craving s... - The worst thing is that i am still fucking myself without any obvious reason. It has been more than 3 years ago since i last saw your fucking face and faced your damn shitty existence. Sometimes i do believe that my world is literally fucked up into fragments like a defense-type grenade explosion has happened and all my pieces are scattered all around like birds' shit. This thing must change.I am lost but at least i am seeking for something real that will eventually help me forget you and erase all shit from this timeline.Who knows... maybe one day i shall wake up or see you in the street and realize why the fuck was i thinking of you and wasting my time thoughts and feelings for you. I might spit you right to your face or ignore you completely.As i found out the most difficult part is becoming a stranger to a person you used to love more than your life. Definitely the good captain is the last man standing inside the storm. Let's see what shall eventually win. My darkness or my path to enlightenment...
