I need a big cuddle from Lew and kisses on my face I dont want to go through this again,negative
is he crying or something ?? His nose is red !,negative
: Fox News is obviously trying to influence the makeup of the Republican field.,negative
hrs Late Flightr still not home. Hotel rental car etc with a yr old what happened to customer service is our first priority,positive
every time I check a bag with your airline Im confident I will be wearing the same clothes for days. Please prove me wrong.,positive
Megan Kelly..youre fired!,negative
oh okay thanks!,positive
Oh great,positive
: Can someone tell me why Ben Carson is carrying water for people who will barely let him speak? Racism much?,negative
chance,negative
Appreciate the follow have you heard of our botanical soaps?,positive
: Fox is cherry picking the candidates. Jeb gets the softball questions.,negative
Trying to get an ice cream in leeds but it keeps cancelling on me,negative
He sounded passionate and believable.,positive
- AA1344 Cancelled Flighted on - rebooked on us air /544 on . Has to be a nonstop on for us (2)?,positive
I finally spoke to a person. Despite the mind boggling wait time the rep was very pleasant and very helpful. Kudos to her.,positive
Hell naw Angie aint nobody paying. Fuck your though this was,negative
i got a new reservation for tomorrow. Thanks!,positive
! Wack ass terminal . No food. No lounge. No Bueno!! Never again!!!,positive
still cant dm its LH7631 on /2/15,positive
: Theres nothing like listening to ten dudes who will never need an abortion talk about whether I should have a right,negative
you have a due date for the fix of error ? My friend and me cant still play,negative
unfortunately I was so startled and rushed I didnt get the name but will provide a description in my expanded email. Thank you,positive
gutted !! I couldnt get tickets and it was my birthday are you releasing more dates,negative
Lolliver!!!!!,negative
Naa unfortunately I didnt have my phone on me,negative
I hate how I I get no texts to look at after my shift because everyones just waking up,negative
Me too,negative
Stats for the day have arrived. new followers and NO unfollowers via .,positive
I have always thought of myself as having average intelligence but after watching last nights I feel like a genius. Also sad.,negative
I have been a customer for years. My Internet is no why near the speed it should be. Its so so slow,negative
Karachi ka Venice after rains : Several parts of Karachi witness accumulated rain water,positive
so funny that my boarding pass said PRIORITY a because clearly I am not a priority to this airline,positive
Aaahhh! I see...,positive
Thats how a acts? Thats how a real ADULT acts? Did get his wittle feewings hurt?,negative
hey mom i hit a home run,positive
: It is very disappointing that Fox News is not conducting a Fair &amp; Balanced Debate.,negative
LAX is almost a mess. For some reason the express bag drop is slower than the full service line.,positive
screwing me over twice in one month. Learned my lesson. We are through.,positive
i love you my lil baby,negative
Sorry God.,negative
classic man good start to a Fri,positive
hahah no boys came for my milkshake,negative
I LOVE YOU SO MUCH.I BELEVE THAT HE WLL FOLLOW.PLEASE FOLLOW ME PLEASE JUSTN x15.338,negative
